Name;Index;Color
Primary production;0; rgba(214, 39, 40, 0.6)
Imports;1; rgba(255, 127, 14, 0.6)
Change in stock;2; rgba(44, 160, 44, 0.6)
Available energy;3;rgba(31, 119, 180, 0.6)
Transformation loses;4; rgba(148, 103, 189, 0.6)
Direct carry-over;5; rgba(140, 86, 75, 0.6)
Transformation input;6; rgba(44, 160, 44, 0.6)
Exports;7; rgba(127, 127, 127, 0.6)
International maritime bunkers;8; rgba(188, 189, 34, 0.6)
International aviation;9; rgba(23, 190, 207, 0.6)
Energy sector;10; rgba(31, 119, 180, 0.6)
Distribution losses;11; rgba(255, 127, 14, 0.6)
Transformation output;12; rgba(227, 119, 194, 0.6)
Available after transformation;13; rgba(214, 39, 40, 0.6)
Available for final consumption;14; rgba(148, 103, 189, 0.6)
Statistical differences;15; rgba(140, 86, 75, 0.6)
Final non-energy consumption;16; rgba(227, 119, 194, 0.6)
Final energy consumption;17; rgba(127, 127, 127, 0.6)
Industry sector;18; rgba(188, 189, 34, 0.6)
Iron & steel;19; rgba(23, 190, 207, 0.6)
Chemical & petrochemical;20; rgba(31, 119, 180, 0.6)
Non-ferrous metals;21; rgba(255, 127, 14, 0.6)
Non-metallic minerals;22; rgba(44, 160, 44, 0.6)
Transport equipment;23; rgba(214, 39, 40, 0.6)
Machinery;24; rgba(148, 103, 189, 0.6)
Mining & quarrying;25; rgba(140, 86, 75, 0.6)
Food, beverages & tobacco;26; rgba(227, 119, 194, 0.6)
Paper, pulp & printing;27; rgba(127, 127, 127, 0.6)
Wood & wood products;28; rgba(188, 189, 34, 0.6)
Construction;29; rgba(23, 190, 207, 0.6)
Textile & leather;30; rgba(31, 119, 180, 0.6)
Not elsewhere specified (industry);31; rgba(255, 127, 14, 0.6)
Transport sector;32; rgba(44, 160, 44, 0.6)
Rail;33; rgba(214, 39, 40, 0.6)
Road;34; rgba(148, 103, 189, 0.6)
Domestic aviation;35; rgba(255,0,255, 0.6)
Domestic navigation;36; rgba(227, 119, 194, 0.6)
Pipeline transport;37; rgba(127, 127, 127, 0.6)
Not elsewhere specified (transport);38; rgba(188, 189, 34, 0.6)
Other sectors;39; rgba(23, 190, 207, 0.6)
Commercial & public services;40; rgba(31, 119, 180, 0.6)
Households;41; rgba(255, 127, 14, 0.6)
Agriculture & forestry;42; rgba(44, 160, 44, 0.6)
Fishing;43; rgba(214, 39, 40, 0.6)
Not elsewhere specified (other);44; rgba(148, 103, 189, 0.6)
